,AL,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WV,WI,WY
2004-01-01,69,95,80,68,100,23,0,50,53,0,70,67,65,90,69,0,0,0,81,15,24,36,0,25,0,93,0,0,28,100,26,71,35,42,71,60,0,100,100,75,88,51,94,13,NA,NA,NA
2005-01-01,87,68,51,75,22,44,74,95,68,63,94,90,67,100,40,29,47,41,42,49,77,82,56,46,0,41,46,77,52,89,57,63,22,54,57,53,0,86,0,36,79,32,81,77,NA,NA,NA
2006-01-01,100,86,31,86,34,64,0,39,72,26,58,77,62,55,40,13,44,13,51,75,56,38,31,65,47,40,55,51,68,19,76,39,58,51,100,53,0,54,37,47,74,50,59,71,NA,NA,NA
2007-01-01,94,66,40,70,36,48,100,82,50,44,19,49,86,69,57,95,28,20,68,66,58,77,50,47,32,56,53,100,90,80,96,66,63,91,64,82,100,26,47,66,72,20,75,66,NA,NA,NA
2008-01-01,53,45,89,83,68,93,34,79,70,22,31,100,93,80,8,96,86,47,46,78,100,83,83,64,52,48,68,66,67,56,85,100,78,44,53,69,21,70,36,67,69,45,54,52,NA,NA,NA
2009-01-01,90,87,0,93,66,49,30,82,100,21,76,73,86,48,100,72,60,33,73,100,82,84,72,72,52,50,68,71,71,74,94,75,73,78,61,62,46,69,30,58,88,52,55,99,NA,NA,NA
2010-01-01,87,91,100,85,62,100,55,90,84,41,70,85,94,75,70,100,100,98,100,79,93,86,63,100,76,100,80,13,71,31,100,90,83,78,69,100,75,92,77,93,100,100,48,100,NA,NA,NA
2011-01-01,66,84,90,100,64,80,52,97,83,36,69,89,98,51,58,61,61,46,64,56,94,91,72,59,100,39,50,51,97,60,84,89,85,79,60,79,67,60,86,73,87,67,100,82,NA,NA,NA
2012-01-01,91,95,56,98,58,71,13,87,65,26,82,79,75,63,76,89,77,35,69,71,91,98,77,68,27,57,100,78,78,78,87,79,81,100,83,81,48,82,49,100,76,70,100,77,NA,NA,NA
2013-01-01,90,95,68,97,72,77,36,84,78,36,100,88,79,68,65,77,83,40,64,77,83,100,100,66,54,64,74,62,99,50,88,75,63,90,67,78,42,78,67,63,81,58,91,88,NA,NA,NA
2014-01-01,81,100,75,97,63,81,72,100,61,45,82,91,100,65,63,71,84,32,79,72,97,94,73,80,67,43,71,97,91,54,95,87,86,84,52,72,44,81,75,82,97,35,68,94,NA,NA,NA
2015-01-01,84,96,94,90,80,81,23,94,86,19,68,86,70,53,54,87,88,48,67,70,100,92,100,61,88,57,93,60,100,50,95,68,83,81,61,64,55,62,30,65,83,53,70,78,NA,NA,NA
2016-01-01,74,91,84,82,66,82,25,90,71,31,57,75,69,58,69,71,49,38,55,63,76,68,57,53,45,40,64,39,71,47,87,64,78,83,59,60,38,51,46,67,69,33,91,54,NA,NA,NA
2017-01-01,72,94,69,89,71,72,18,88,73,36,58,80,71,38,53,51,56,36,48,65,81,87,57,63,96,41,74,53,84,44,100,59,75,58,62,59,34,70,42,56,79,53,82,66,NA,NA,NA
2018-01-01,80,31,41,57,0,22,42,71,62,100,49,49,55,49,61,65,89,100,56,40,70,18,0,37,0,52,0,66,48,65,76,55,100,29,100,75,0,72,0,35,50,38,59,88,NA,NA,NA
