,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WV,WI
2004-01-01,33,67,27,22,65,100,33,78,62,67,42,24,73,100,57,NA,NA,NA,34,83,71,62,80,34,50,100,45,50,100,73,0,78,82,23,100,100,71,52,40,66,26,85,100,78,83,40,25,95
2005-01-01,62,88,53,28,72,79,93,50,100,70,78,63,66,56,61,NA,NA,NA,100,82,83,79,69,67,68,20,98,100,74,91,75,63,100,29,92,39,57,64,25,92,48,81,99,16,80,30,32,87
2006-01-01,63,44,89,100,71,59,84,100,77,87,55,29,82,53,62,NA,NA,NA,40,58,90,50,90,62,66,26,84,86,57,87,59,76,60,19,73,71,73,78,48,59,57,100,100,61,77,54,59,79
2007-01-01,59,51,82,44,70,49,83,41,96,88,49,38,79,55,49,NA,NA,NA,26,74,65,52,78,99,89,43,86,44,58,96,75,75,95,31,64,64,77,81,53,100,30,72,88,85,76,43,39,59
2008-01-01,60,58,85,60,65,54,70,59,89,72,75,100,94,75,64,NA,NA,NA,29,71,92,66,74,87,74,77,100,59,75,83,84,72,75,15,87,55,66,89,74,62,14,77,94,69,66,53,80,68
2009-01-01,59,42,65,84,60,77,79,30,97,75,93,67,79,50,67,NA,NA,NA,20,71,79,63,100,67,100,35,76,67,60,91,60,77,72,39,94,81,81,80,76,69,55,84,90,81,45,59,45,74
2010-01-01,58,53,77,78,51,59,68,47,73,75,88,57,94,83,100,NA,NA,NA,25,78,100,63,87,84,94,68,84,59,46,98,58,78,89,24,87,71,91,91,65,80,63,80,99,98,46,63,53,77
2011-01-01,65,77,98,74,90,57,63,60,84,80,85,53,95,78,53,NA,NA,NA,35,100,93,71,89,59,87,63,77,42,56,99,80,79,86,36,94,73,70,91,100,75,56,76,93,80,96,57,46,97
2012-01-01,70,91,99,77,89,63,76,69,94,80,100,73,97,80,86,NA,NA,NA,39,89,91,65,97,71,95,59,91,65,76,89,71,73,98,31,89,76,85,92,69,90,69,75,99,100,95,64,54,92
2013-01-01,53,82,99,79,94,64,83,67,94,77,75,72,100,89,72,NA,NA,NA,36,83,91,70,99,76,87,52,100,93,81,90,60,78,90,37,87,99,53,88,71,82,52,78,94,79,100,68,43,100
2014-01-01,66,93,95,68,92,66,71,59,81,68,89,93,89,75,93,NA,NA,NA,38,80,94,66,93,98,98,34,67,83,69,83,62,77,94,43,87,63,53,88,61,91,61,67,99,90,73,62,58,84
2015-01-01,61,83,100,71,92,73,72,59,82,79,76,58,90,70,70,NA,NA,NA,42,89,93,69,80,100,86,49,77,86,55,100,100,83,79,37,85,44,60,89,97,82,45,78,95,91,61,62,61,84
2016-01-01,47,85,88,57,82,63,66,69,73,71,78,54,87,64,69,NA,NA,NA,45,73,86,64,84,78,89,65,73,59,59,95,80,78,78,38,85,72,72,83,68,75,44,65,86,82,95,67,37,84
2017-01-01,60,100,87,64,94,54,71,81,87,79,70,72,93,68,71,NA,NA,NA,37,82,90,74,88,53,86,50,82,81,68,99,72,85,86,44,85,67,84,74,76,74,64,76,88,78,92,70,48,85
2018-01-01,100,96,72,78,100,50,100,29,83,100,43,66,93,78,65,NA,NA,NA,75,88,74,100,57,64,100,99,88,39,21,96,41,100,68,100,98,51,100,100,48,71,100,48,86,88,95,100,100,88
