,Year,LocationAbbr,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
0,2011,AL,10.9,10.1,11.7,1215
1,2011,AK,8.4,6.9,9.9,301
2,2011,AZ,9.0,7.9,10.2,808
3,2011,AR,10.3,9.2,11.4,739
4,2011,CA,8.5,7.9,9.0,1823
5,2011,CO,6.7,6.1,7.2,1212
6,2011,CT,8.5,7.7,9.2,753
7,2011,DE,8.8,7.8,9.8,602
8,2011,DC,9.5,8.4,10.6,541
9,2011,FL,8.9,8.3,9.6,1760
10,2011,GA,10.3,9.6,11.0,1482
11,2011,HI,7.8,7.1,8.6,824
12,2011,ID,9.0,8.1,10.0,767
13,2011,IL,9.4,8.3,10.4,693
14,2011,IN,9.6,8.9,10.3,1181
15,2011,IA,7.2,6.7,7.8,801
16,2011,KS,8.9,8.5,9.3,2584
17,2011,KY,10.0,9.3,10.8,1742
18,2011,LA,11.4,10.6,12.2,1716
19,2011,ME,8.3,7.8,8.8,1532
20,2011,MD,9.0,8.2,9.7,1213
21,2011,MA,7.5,7.0,8.0,2561
22,2011,MI,9.2,8.5,9.9,1475
23,2011,MN,6.9,6.4,7.4,1317
24,2011,MS,11.7,10.9,12.4,1565
25,2011,MO,9.4,8.5,10.3,881
26,2011,MT,7.0,6.4,7.7,1020
27,2011,NE,7.8,7.3,8.2,2842
28,2011,NV,10.0,8.6,11.5,562
29,2011,NH,7.7,7.1,8.4,772
30,2011,NJ,8.1,7.5,8.6,1741
31,2011,NM,9.3,8.6,10.0,1198
32,2011,NY,9.8,9.0,10.5,888
33,2011,NC,10.2,9.5,11.0,1616
34,2011,ND,7.5,6.8,8.3,554
35,2011,OH,9.1,8.5,9.8,1308
36,2011,OK,10.5,9.7,11.3,1251
37,2011,OR,8.4,7.6,9.2,699
38,2011,PA,8.3,7.7,8.9,1378
39,2011,RI,7.7,7.0,8.5,683
40,2011,SC,11.3,10.5,12.0,2069
41,2011,SD,8.7,7.7,9.7,1005
42,2011,TN,10.3,9.1,11.6,943
43,2011,TX,10.2,9.5,10.9,2062
44,2011,UT,7.4,6.9,7.9,1144
45,2011,VT,6.8,6.1,7.4,698
46,2011,VA,9.9,8.9,10.8,851
47,2011,WA,8.5,7.9,9.1,1731
48,2011,WV,10.6,9.7,11.4,762
49,2011,WI,7.6,6.8,8.5,616
50,2011,WY,7.8,6.9,8.7,656
51,2011,GU,11.4,9.5,13.2,186
52,2011,PR,13.4,12.5,14.2,1191
53,2012,AL,11.1,10.4,11.9,1574
54,2012,AK,7.2,6.2,8.3,324
55,2012,AZ,10.0,8.9,11.1,983
56,2012,AR,10.3,9.4,11.3,800
57,2012,CA,9.6,8.9,10.2,1655
58,2012,CO,7.2,6.6,7.7,1108
59,2012,CT,8.2,7.4,8.9,933
60,2012,DE,8.7,7.7,9.6,606
61,2012,DC,8.8,7.7,9.9,454
62,2012,FL,9.8,8.8,10.8,1090
63,2012,GA,9.7,8.9,10.6,887
64,2012,HI,7.0,6.1,8.0,598
65,2012,ID,7.9,7.0,8.9,725
66,2012,IL,8.9,7.9,9.8,673
67,2012,IN,10.1,9.4,10.8,1250
68,2012,IA,8.7,8.0,9.4,881
69,2012,KS,8.8,8.2,9.4,1453
70,2012,KY,9.8,9.0,10.5,1733
71,2012,LA,11.6,10.7,12.4,1513
72,2012,ME,8.2,7.6,8.8,1150
73,2012,MD,9.4,8.8,10.1,1699
74,2012,MA,7.7,7.2,8.2,2491
75,2012,MI,9.5,8.7,10.2,1465
76,2012,MN,6.8,6.2,7.4,1131
77,2012,MS,11.8,10.9,12.6,1410
78,2012,MO,9.6,8.7,10.5,987
79,2012,MT,6.2,5.7,6.8,884
80,2012,NE,7.5,7.0,7.9,2123
81,2012,NV,8.5,7.3,9.6,497
82,2012,NH,7.9,7.2,8.5,904
83,2012,NJ,8.5,7.9,9.0,1790
84,2012,NM,9.4,8.7,10.1,1076
85,2012,NY,9.0,8.1,10.0,652
86,2012,NC,9.7,9.1,10.3,1565
87,2012,ND,7.8,7.0,8.6,548
88,2012,OH,10.5,9.9,11.2,1914
89,2012,OK,10.6,9.9,11.3,1185
90,2012,OR,9.1,8.1,10.0,621
91,2012,PA,8.9,8.4,9.5,2573
92,2012,RI,8.9,8.0,9.8,642
93,2012,SC,10.6,9.9,11.2,1976
94,2012,SD,7.0,6.2,7.8,829
95,2012,TN,10.9,10.0,11.7,1115
96,2012,TX,10.6,9.9,11.4,1245
97,2012,UT,7.8,7.3,8.4,1227
98,2012,VT,6.4,5.7,7.2,562
99,2012,VA,9.9,9.1,10.7,937
100,2012,WA,8.3,7.7,8.8,1703
101,2012,WV,11.2,10.3,12.0,849
102,2012,WI,7.5,6.6,8.5,604
103,2012,WY,8.4,7.4,9.4,779
104,2012,GU,10.7,8.9,12.5,199
105,2012,PR,15.2,14.3,16.1,1191
106,2013,AL,12.7,11.6,13.7,1209
107,2013,AK,7.2,6.2,8.3,356
108,2013,AZ,9.8,8.4,11.2,552
109,2013,AR,10.5,9.4,11.6,803
110,2013,CA,9.8,9.1,10.6,1242
111,2013,CO,6.3,5.8,6.8,1089
112,2013,CT,7.4,6.7,8.1,833
113,2013,DE,9.9,9.0,10.9,736
114,2013,DC,8.4,7.4,9.3,556
115,2013,FL,9.4,8.8,10.0,5189
116,2013,GA,10.5,9.7,11.3,1159
117,2013,HI,7.6,6.7,8.4,703
118,2013,ID,7.8,7.0,8.7,640
119,2013,IL,9.2,8.3,10.2,698
120,2013,IN,10.0,9.4,10.7,1468
121,2013,IA,8.3,7.6,8.9,1006
122,2013,KS,8.8,8.4,9.2,2832
123,2013,KY,9.7,9.0,10.4,1649
124,2013,LA,10.9,9.9,11.9,847
125,2013,ME,8.1,7.4,8.8,940
126,2013,MD,9.1,8.5,9.8,1698
127,2013,MA,7.7,7.1,8.3,1762
128,2013,MI,9.3,8.7,9.9,1642
129,2013,MN,6.8,6.1,7.5,1396
130,2013,MS,12.0,11.1,12.9,1348
131,2013,MO,8.7,7.9,9.5,1012
132,2013,MT,6.7,6.1,7.3,979
133,2013,NE,8.4,7.8,9.0,2009
134,2013,NV,9.0,7.7,10.4,514
135,2013,NH,8.0,7.3,8.8,770
136,2013,NJ,8.2,7.6,8.8,1460
137,2013,NM,9.8,9.0,10.6,1192
138,2013,NY,9.7,8.9,10.5,1035
139,2013,NC,10.5,9.7,11.2,1325
140,2013,ND,8.1,7.4,8.9,865
141,2013,OH,9.2,8.6,9.9,1673
142,2013,OK,10.2,9.5,10.9,1202
143,2013,OR,8.3,7.5,9.1,675
144,2013,PA,8.7,8.1,9.3,1435
145,2013,RI,8.3,7.5,9.1,786
146,2013,SC,11.3,10.6,12.0,1802
147,2013,SD,8.2,7.3,9.1,827
148,2013,TN,11.2,10.1,12.3,934
149,2013,TX,10.9,10.0,11.7,1534
150,2013,UT,7.8,7.2,8.3,1203
151,2013,VT,6.7,6.0,7.4,616
152,2013,VA,9.2,8.5,9.9,1047
153,2013,WA,8.0,7.4,8.6,1271
154,2013,WV,11.2,10.4,12.0,925
155,2013,WI,7.4,6.5,8.2,774
156,2013,WY,8.1,7.3,8.9,769
157,2013,GU,14.8,12.6,17.1,233
158,2013,PR,13.7,12.8,14.7,1125
159,2014,AL,11.8,11.0,12.6,1528
160,2014,AK,7.6,6.7,8.6,403
161,2014,AZ,9.2,8.5,9.8,2024
162,2014,AR,11.5,10.4,12.6,966
163,2014,CA,9.9,9.2,10.6,980
164,2014,CO,6.9,6.5,7.4,1189
165,2014,CT,8.0,7.3,8.7,880
166,2014,DE,9.8,8.8,10.9,653
167,2014,DC,9.1,7.9,10.3,541
168,2014,FL,9.4,8.7,10.1,1357
169,2014,GA,11.1,10.2,11.9,1048
170,2014,HI,8.9,8.0,9.8,775
171,2014,ID,7.0,6.2,7.8,578
172,2014,IL,9.4,8.5,10.3,625
173,2014,IN,9.8,9.2,10.4,1653
174,2014,IA,8.4,7.7,9.0,1000
175,2014,KS,9.5,9.0,10.0,1768
176,2014,KY,11.4,10.5,12.3,2012
177,2014,LA,10.5,9.7,11.2,992
178,2014,ME,7.8,7.2,8.5,1086
179,2014,MD,9.2,8.5,9.9,1781
180,2014,MA,8.8,8.2,9.5,2053
181,2014,MI,9.0,8.4,9.6,1127
182,2014,MN,7.4,7.0,7.9,1581
183,2014,MS,12.0,10.8,13.1,763
184,2014,MO,10.0,9.1,10.9,1125
185,2014,MT,7.6,6.8,8.3,927
186,2014,NE,8.4,7.9,8.9,2627
187,2014,NV,8.9,7.7,10.0,456
188,2014,NH,7.9,7.0,8.7,750
189,2014,NJ,8.7,8.0,9.3,1619
190,2014,NM,10.5,9.7,11.3,1207
191,2014,NY,9.2,8.4,9.9,842
192,2014,NC,9.9,9.2,10.6,980
193,2014,ND,8.0,7.2,8.8,870
194,2014,OH,10.3,9.6,11.0,1751
195,2014,OK,10.9,10.2,11.6,1322
196,2014,OR,8.0,7.2,8.8,638
197,2014,PA,9.6,9.0,10.3,1583
198,2014,RI,8.3,7.6,9.1,807
199,2014,SC,10.8,10.1,11.4,1794
200,2014,SD,8.2,7.2,9.3,864
201,2014,TN,11.8,10.7,12.9,881
202,2014,TX,10.9,10.1,11.6,2323
203,2014,UT,7.7,7.2,8.1,1304
204,2014,VT,6.9,6.3,7.6,567
205,2014,VA,9.0,8.4,9.6,1203
206,2014,WA,8.2,7.6,8.8,1167
207,2014,WV,12.1,11.2,13.0,1001
208,2014,WI,8.0,7.2,8.8,859
209,2014,WY,7.8,6.9,8.7,775
210,2014,GU,11.9,10.3,13.5,316
211,2014,PR,14.2,13.3,15.1,1197
212,2015,AL,12.1,11.2,12.9,1361
213,2015,AK,7.8,6.5,9.1,348
214,2015,AZ,9.1,8.3,9.9,1100
215,2015,AR,11.2,10.1,12.3,962
216,2015,CA,9.6,8.9,10.3,1292
217,2015,CO,6.4,5.9,6.9,1227
218,2015,CT,8.1,7.5,8.7,1388
219,2015,DE,9.9,8.9,10.9,609
220,2015,DC,9.2,7.9,10.5,549
221,2015,FL,9.3,8.6,10.0,1400
222,2015,GA,10.6,9.7,11.6,754
223,2015,HI,7.8,7.0,8.5,726
224,2015,ID,7.4,6.6,8.1,682
225,2015,IL,9.1,8.3,10.0,682
226,2015,IN,10.5,9.5,11.5,888
227,2015,IA,7.7,7.0,8.4,756
228,2015,KS,8.9,8.5,9.2,2878
229,2015,KY,12.1,11.1,13.1,1471
230,2015,LA,11.8,10.8,12.8,800
231,2015,ME,8.2,7.4,9.0,1084
232,2015,MD,9.4,8.5,10.2,1866
233,2015,MA,8.0,7.3,8.7,996
234,2015,MI,9.5,8.8,10.2,1092
235,2015,MN,6.8,6.4,7.3,1652
236,2015,MS,13.6,12.6,14.7,1159
237,2015,MO,10.3,9.4,11.1,1160
238,2015,MT,6.8,6.0,7.6,653
239,2015,NE,8.0,7.5,8.5,2066
240,2015,NV,9.0,7.6,10.4,339
241,2015,NH,6.8,6.2,7.4,839
242,2015,NJ,7.9,7.3,8.5,1317
243,2015,NM,10.5,9.5,11.4,927
244,2015,NY,8.9,8.3,9.5,1477
245,2015,NC,9.6,8.9,10.3,858
246,2015,ND,8.1,7.3,9.0,569
247,2015,OH,9.5,8.9,10.2,1869
248,2015,OK,10.7,9.9,11.6,1100
249,2015,OR,9.5,8.6,10.5,667
250,2015,PA,8.8,8.0,9.6,722
251,2015,RI,7.9,7.1,8.7,754
252,2015,SC,10.5,9.8,11.1,1849
253,2015,SD,8.4,7.4,9.3,868
254,2015,TN,11.4,10.4,12.5,1006
255,2015,TX,11.2,10.3,12.0,2285
256,2015,UT,7.5,7.0,8.1,1022
257,2015,VT,7.1,6.4,7.8,629
258,2015,VA,9.6,8.9,10.3,1139
259,2015,WA,7.7,7.2,8.2,1798
260,2015,WV,12.5,11.6,13.4,969
261,2015,WI,7.4,6.6,8.3,683
262,2015,WY,7.6,6.8,8.4,680
263,2015,GU,13.9,11.4,16.3,194
264,2015,PR,14.7,13.8,15.7,1095
265,2016,AL,13.2,12.2,14.2,1252
266,2016,AK,7.7,6.3,9.2,301
267,2016,AZ,9.7,9.0,10.5,1600
268,2016,AR,12.1,10.8,13.5,993
269,2016,CA,9.6,9.0,10.3,1210
270,2016,CO,6.2,5.8,6.6,1363
271,2016,CT,8.5,7.9,9.1,1327
272,2016,DE,9.1,8.1,10.1,570
273,2016,DC,8.4,7.5,9.2,469
274,2016,FL,9.8,9.2,10.4,5749
275,2016,GA,11.4,10.5,12.3,895
276,2016,HI,9.5,8.7,10.3,993
277,2016,ID,8.1,7.2,8.9,647
278,2016,IL,9.5,8.6,10.4,588
279,2016,IN,10.5,9.8,11.1,1785
280,2016,IA,8.1,7.5,8.8,936
281,2016,KS,8.5,8.0,9.0,1510
282,2016,KY,11.8,10.9,12.7,1609
283,2016,LA,11.1,10.1,12.1,934
284,2016,ME,8.5,7.8,9.2,1228
285,2016,MD,9.8,9.2,10.4,2692
286,2016,MA,8.3,7.5,9.0,974
287,2016,MI,9.8,9.2,10.4,1578
288,2016,MN,7.6,7.1,8.0,1692
289,2016,MS,12.5,11.4,13.5,889
290,2016,MO,10.3,9.3,11.2,1156
291,2016,MT,6.9,6.1,7.6,715
292,2016,NE,8.0,7.4,8.6,1787
293,2016,NV,10.1,9.0,11.2,547
294,2016,NH,7.6,6.9,8.4,788
295,2016,NJ,8.1,7.3,8.9,901
296,2016,NM,10.4,9.5,11.4,904
297,2016,NY,9.5,8.9,10.0,4494
298,2016,NC,10.1,9.3,10.9,892
299,2016,ND,8.2,7.4,8.9,678
300,2016,OH,9.7,9.0,10.3,1938
301,2016,OK,11.0,10.1,11.8,1086
302,2016,OR,8.4,7.6,9.2,590
303,2016,PA,9.6,8.8,10.4,824
304,2016,RI,8.6,7.8,9.5,692
305,2016,SC,11.5,10.8,12.2,1988
306,2016,SD,6.9,6.0,7.7,707
307,2016,TN,11.3,10.4,12.2,1004
308,2016,TX,10.9,10.0,11.9,1894
309,2016,UT,7.7,7.1,8.3,1126
310,2016,VT,7.3,6.5,8.0,708
311,2016,VA,9.6,8.9,10.2,1215
312,2016,WA,8.6,8.1,9.1,1671
313,2016,WV,12.8,11.9,13.6,1229
314,2016,WI,8.6,7.7,9.4,655
315,2016,WY,7.6,6.6,8.5,521
316,2016,GU,11.5,9.5,13.6,202
317,2016,PR,13.7,12.7,14.8,1145
318,2016,VI,11.6,9.3,13.8,212
