,AL,AZ,AR,CA,CO,CT,FL,GA,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NJ,NY,NC,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA,WI
2004-01-01,0,100,100,42,100,0,57,100,45,78,0,0,72,100,30,20,30,31,0,39,0,0,100,100,65,51,100,27,64,0,52,61,67,34,89,99
2005-01-01,100,74,64,35,65,97,100,49,100,0,100,49,95,66,55,13,75,20,0,48,0,100,85,48,95,81,0,49,53,100,66,50,41,21,45,93
2006-01-01,98,37,0,36,41,81,72,51,57,79,34,100,21,63,100,46,100,79,94,78,0,0,79,60,100,85,40,21,42,48,43,85,52,28,71,41
2007-01-01,43,43,0,62,27,93,55,48,76,100,0,23,22,0,44,82,97,88,100,52,40,39,78,66,55,57,13,15,96,10,30,86,0,18,43,45
2008-01-01,17,29,37,100,39,44,87,56,87,18,40,0,100,31,43,89,37,100,62,100,100,74,65,57,38,100,21,36,60,16,73,97,44,100,51,24
2009-01-01,44,35,32,84,36,49,45,63,88,67,40,81,39,75,40,77,41,88,36,53,0,12,71,63,69,71,37,23,70,30,42,100,55,97,37,54
2010-01-01,80,16,16,92,94,80,88,59,68,38,56,29,40,8,43,85,32,46,16,63,56,44,46,74,30,84,25,26,100,20,100,100,40,94,100,100
2011-01-01,39,29,7,29,22,56,67,36,61,37,20,39,21,33,53,100,58,50,25,39,50,18,66,42,35,46,25,20,47,23,48,68,18,23,42,47
2012-01-01,5,28,13,22,34,47,58,29,46,16,6,32,16,30,55,68,54,31,26,30,63,30,45,46,30,47,26,20,39,12,34,60,39,20,25,36
2013-01-01,45,23,32,16,43,53,46,23,47,19,14,9,22,15,47,54,46,31,13,32,38,21,59,37,29,52,12,100,57,16,44,52,15,21,29,45
2014-01-01,35,22,5,20,38,43,58,28,61,32,38,42,30,7,71,65,40,33,32,52,34,19,42,51,28,48,18,49,50,22,42,70,28,28,43,36
2015-01-01,37,30,28,23,47,100,61,28,52,40,24,35,22,33,44,99,45,42,36,42,31,34,42,53,28,52,23,63,63,10,30,76,35,34,44,59
2016-01-01,31,34,43,23,39,64,55,22,72,27,33,35,23,24,57,67,37,35,21,28,45,13,54,46,32,53,17,26,57,14,33,58,21,12,44,39
2017-01-01,38,27,26,22,35,78,53,32,64,29,13,55,15,30,57,83,45,38,22,42,34,27,50,55,34,47,15,15,54,21,30,66,32,13,38,28
2018-01-01,46,60,0,11,45,0,71,31,43,0,61,74,35,32,49,27,0,61,0,0,0,0,67,48,0,21,0,0,56,21,32,50,100,21,51,0
