,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS
2004-01-01,100,96,86,77,88,76,78,45,96,83,83,100,89,87,49,44
2005-01-01,87,65,68,82,81,91,98,85,75,78,100,88,94,86,93,75
2006-01-01,77,93,76,53,81,86,82,66,84,73,59,81,81,69,66,100
2007-01-01,68,81,74,77,81,76,83,68,83,79,56,53,82,79,67,89
2008-01-01,86,83,76,65,73,82,91,100,82,78,73,58,80,77,81,82
2009-01-01,84,51,80,83,70,87,82,80,89,85,75,81,95,82,66,80
2010-01-01,95,76,88,100,62,95,86,88,93,96,90,88,96,100,100,96
2011-01-01,98,86,89,99,96,97,89,75,95,98,96,69,100,96,85,89
2012-01-01,93,82,96,97,100,100,85,91,97,99,94,85,96,100,83,94
2013-01-01,87,94,96,85,97,96,100,88,95,100,86,90,94,88,89,87
2014-01-01,91,82,90,91,94,96,95,86,100,98,81,85,94,83,85,86
2015-01-01,94,76,100,86,96,95,93,95,100,99,82,78,98,82,85,74
2016-01-01,83,71,88,79,94,89,91,84,93,94,78,74,91,82,76,83
2017-01-01,83,77,90,81,92,86,93,84,85,91,77,72,94,83,82,75
2018-01-01,88,100,100,78,87,89,89,66,80,70,62,65,86,65,83,78
